ts_utc,site_id,endpoint_id,state,status_code,error_type,error_detail,latency_ms,attempts,slow
2026-04-01T14:35:09+00:00,1,1,UP,301,,,88,1,0
2026-04-01T14:35:09+00:00,2,2,UP,200,,,109,1,0
2026-04-01T14:35:09+00:00,3,3,UP,301,,,262,1,0
2026-04-01T14:35:09+00:00,4,4,UP,301,,,1822,1,0
2026-04-01T14:35:09+00:00,5,5,UP,301,,,197,1,0
2026-04-01T14:35:09+00:00,6,6,UP,200,,,1527,1,0
2026-04-01T14:35:09+00:00,7,7,UP,301,,,1853,1,0
2026-04-01T14:35:09+00:00,8,8,UP,301,,,992,1,0
2026-04-01T14:35:09+00:00,9,9,UP,200,,,2309,1,1
2026-04-01T14:35:09+00:00,10,10,UP,200,,,1237,1,0
2026-04-01T14:35:09+00:00,11,11,UP,200,,,2148,1,1
2026-04-01T14:35:09+00:00,12,12,UP,200,,,154,1,0
2026-04-01T14:35:09+00:00,13,13,UP,301,,,121,1,0
2026-04-01T14:35:09+00:00,14,14,DOWN,403,http_403,,28,3,0
2026-04-01T14:35:09+00:00,15,15,DOWN,403,http_403,,56,3,0
2026-04-01T14:35:09+00:00,16,16,UP,200,,,138,1,0
2026-04-01T14:35:09+00:00,17,17,UP,200,,,115,1,0
2026-04-01T14:35:09+00:00,18,18,UP,200,,,1112,1,0
2026-04-01T14:35:09+00:00,19,19,UP,200,,,102,1,0
2026-04-01T14:35:09+00:00,20,20,UP,301,,,188,1,0
2026-04-01T14:35:09+00:00,21,21,UP,200,,,808,1,0
2026-04-01T14:35:09+00:00,22,22,UP,200,,,114,1,0
2026-04-01T14:35:09+00:00,23,23,UP,200,,,226,1,0
2026-04-01T14:35:09+00:00,24,24,UP,200,,,1609,1,0
2026-04-01T14:35:09+00:00,25,25,UP,200,,,124,1,0
2026-04-01T14:35:09+00:00,26,26,UP,200,,,1599,1,0
2026-04-01T14:35:09+00:00,27,27,UP,200,,,1421,1,0
2026-04-01T14:35:09+00:00,28,28,UP,200,,,666,1,0
2026-04-01T14:35:09+00:00,29,29,UP,200,,,98,1,0
2026-04-01T14:35:09+00:00,30,30,UP,301,,,69,1,0
2026-04-01T14:35:09+00:00,31,31,UP,301,,,149,1,0
2026-04-01T14:35:09+00:00,32,32,DOWN,,connect,ConnectError: [Errno 11002] getaddrinfo failed,11084,3,0
2026-04-01T14:35:09+00:00,33,33,UP,200,,,612,1,0
2026-04-01T14:35:09+00:00,34,34,DOWN,,connect,ConnectError: [Errno 11001] getaddrinfo failed,11090,3,0
2026-04-01T14:35:09+00:00,35,35,UP,200,,,103,1,0
2026-04-01T14:35:09+00:00,36,36,UP,200,,,618,1,0
2026-04-01T14:35:09+00:00,37,37,UP,200,,,924,1,0
2026-04-01T14:35:09+00:00,38,38,UP,200,,,1908,1,0
2026-04-01T14:35:09+00:00,39,39,UP,200,,,1140,1,0
2026-04-01T14:35:09+00:00,40,40,UP,200,,,180,1,0
2026-04-01T14:35:09+00:00,41,41,UP,200,,,103,1,0
2026-04-01T14:35:09+00:00,42,42,UP,301,,,938,1,0
2026-04-01T14:54:48+00:00,1,1,UP,301,,,78,1,0
2026-04-01T14:54:48+00:00,2,2,UP,200,,,72,1,0
2026-04-01T14:54:48+00:00,3,3,UP,301,,,270,1,0
2026-04-01T14:54:48+00:00,4,4,UP,301,,,1631,1,0
2026-04-01T14:54:48+00:00,5,5,UP,301,,,120,1,0
2026-04-01T14:54:48+00:00,6,6,UP,200,,,717,1,0
2026-04-01T14:54:48+00:00,7,7,UP,301,,,1844,1,0
2026-04-01T14:54:48+00:00,8,8,UP,301,,,614,1,0
2026-04-01T14:54:48+00:00,9,9,UP,200,,,3378,1,1
2026-04-01T14:54:48+00:00,10,10,UP,200,,,1233,1,0
2026-04-01T14:54:48+00:00,11,11,UP,200,,,2196,1,1
2026-04-01T14:54:48+00:00,12,12,UP,200,,,110,1,0
2026-04-01T14:54:48+00:00,13,13,UP,301,,,63,1,0
2026-04-01T14:54:48+00:00,14,14,DOWN,403,http_403,,35,3,0
2026-04-01T14:54:48+00:00,15,15,DOWN,403,http_403,,29,3,0
2026-04-01T14:54:48+00:00,16,16,UP,200,,,117,1,0
2026-04-01T14:54:48+00:00,17,17,UP,200,,,99,1,0
2026-04-01T14:54:48+00:00,18,18,UP,200,,,1913,1,0
2026-04-01T14:54:48+00:00,19,19,UP,200,,,137,1,0
2026-04-01T14:54:48+00:00,20,20,UP,301,,,176,1,0
2026-04-01T14:54:48+00:00,21,21,UP,200,,,788,1,0
2026-04-01T14:54:48+00:00,22,22,UP,200,,,103,1,0
2026-04-01T14:54:48+00:00,23,23,UP,200,,,144,1,0
2026-04-01T14:54:48+00:00,24,24,UP,200,,,1296,1,0
2026-04-01T14:54:48+00:00,25,25,UP,200,,,43,1,0
2026-04-01T14:54:48+00:00,26,26,UP,200,,,1535,1,0
2026-04-01T14:54:48+00:00,27,27,UP,200,,,1246,1,0
2026-04-01T14:54:48+00:00,28,28,UP,200,,,164,1,0
2026-04-01T14:54:48+00:00,29,29,UP,200,,,93,1,0
2026-04-01T14:54:48+00:00,30,30,UP,301,,,85,1,0
2026-04-01T14:54:48+00:00,31,31,UP,301,,,262,1,0
2026-04-01T14:54:48+00:00,32,32,UP,301,,,130,1,0
2026-04-01T14:54:48+00:00,33,33,UP,200,,,758,1,0
2026-04-01T14:54:48+00:00,34,34,UP,200,,,105,1,0
2026-04-01T14:54:48+00:00,35,35,UP,200,,,93,1,0
2026-04-01T14:54:48+00:00,36,36,UP,200,,,530,1,0
2026-04-01T14:54:48+00:00,37,37,UP,200,,,944,1,0
2026-04-01T14:54:48+00:00,38,38,UP,200,,,1864,1,0
2026-04-01T14:54:48+00:00,39,39,UP,200,,,1066,1,0
2026-04-01T14:54:48+00:00,40,40,UP,200,,,55,1,0
2026-04-01T14:54:48+00:00,41,41,UP,200,,,70,1,0
2026-04-01T14:54:48+00:00,42,42,UP,301,,,1061,1,0
2026-04-01T15:58:33+00:00,1,1,UP,301,,,71,1,0
2026-04-01T15:58:33+00:00,2,2,UP,200,,,109,1,0
2026-04-01T15:58:33+00:00,3,3,UP,301,,,249,1,0
2026-04-01T15:58:33+00:00,4,4,UP,301,,,1661,1,0
2026-04-01T15:58:33+00:00,5,5,UP,301,,,130,1,0
2026-04-01T15:58:33+00:00,6,6,UP,200,,,434,1,0
2026-04-01T15:58:33+00:00,7,7,UP,301,,,1590,1,0
2026-04-01T15:58:33+00:00,8,8,UP,301,,,890,1,0
2026-04-01T15:58:33+00:00,9,9,UP,200,,,1958,1,0
2026-04-01T15:58:33+00:00,10,10,UP,200,,,1140,1,0
2026-04-01T15:58:33+00:00,11,11,UP,200,,,2370,1,1
2026-04-01T15:58:33+00:00,12,12,UP,200,,,137,1,0
2026-04-01T15:58:33+00:00,13,13,UP,301,,,97,1,0
2026-04-01T15:58:33+00:00,14,14,DOWN,403,http_403,,51,3,0
2026-04-01T15:58:33+00:00,15,15,DOWN,403,http_403,,51,3,0
2026-04-01T15:58:33+00:00,16,16,UP,200,,,69,1,0
2026-04-01T15:58:33+00:00,17,17,UP,200,,,153,1,0
2026-04-01T15:58:33+00:00,18,18,UP,200,,,1025,1,0
2026-04-01T15:58:33+00:00,19,19,UP,200,,,108,1,0
2026-04-01T15:58:33+00:00,20,20,UP,301,,,194,1,0
2026-04-01T15:58:33+00:00,21,21,UP,200,,,842,1,0
2026-04-01T15:58:33+00:00,22,22,UP,200,,,120,1,0
2026-04-01T15:58:33+00:00,23,23,UP,200,,,199,1,0
2026-04-01T15:58:33+00:00,24,24,UP,200,,,1346,1,0
2026-04-01T15:58:33+00:00,25,25,UP,200,,,35,1,0
2026-04-01T15:58:33+00:00,26,26,UP,200,,,1482,1,0
2026-04-01T15:58:33+00:00,27,27,UP,200,,,1227,1,0
2026-04-01T15:58:33+00:00,28,28,UP,200,,,642,1,0
2026-04-01T15:58:33+00:00,29,29,UP,200,,,107,1,0
2026-04-01T15:58:33+00:00,30,30,UP,301,,,131,1,0
2026-04-01T15:58:33+00:00,31,31,UP,301,,,178,1,0
2026-04-01T15:58:33+00:00,32,32,UP,301,,,145,1,0
2026-04-01T15:58:33+00:00,33,33,UP,200,,,1597,1,0
2026-04-01T15:58:33+00:00,34,34,UP,200,,,126,1,0
2026-04-01T15:58:33+00:00,35,35,UP,200,,,80,1,0
2026-04-01T15:58:33+00:00,36,36,UP,200,,,543,1,0
2026-04-01T15:58:33+00:00,37,37,UP,200,,,1035,1,0
2026-04-01T15:58:33+00:00,38,38,UP,200,,,1866,1,0
2026-04-01T15:58:33+00:00,39,39,UP,200,,,1240,1,0
2026-04-01T15:58:33+00:00,40,40,UP,200,,,72,1,0
2026-04-01T15:58:33+00:00,41,41,UP,200,,,55,1,0
2026-04-01T15:58:33+00:00,42,42,UP,301,,,1164,1,0
2026-04-01T16:13:52+00:00,1,1,UP,301,,,85,1,0
2026-04-01T16:13:52+00:00,2,2,UP,200,,,56,1,0
2026-04-01T16:13:52+00:00,3,3,UP,301,,,219,1,0
2026-04-01T16:13:52+00:00,4,4,UP,301,,,1634,1,0
2026-04-01T16:13:52+00:00,5,5,UP,301,,,127,1,0
2026-04-01T16:13:52+00:00,6,6,UP,200,,,734,1,0
2026-04-01T16:13:52+00:00,7,7,UP,301,,,1553,1,0
2026-04-01T16:13:52+00:00,8,8,UP,301,,,931,1,0
2026-04-01T16:13:52+00:00,9,9,UP,200,,,1195,1,0
2026-04-01T16:13:52+00:00,10,10,UP,200,,,1152,1,0
2026-04-01T16:13:52+00:00,11,11,UP,200,,,2194,1,1
2026-04-01T16:13:52+00:00,12,12,UP,200,,,155,1,0
2026-04-01T16:13:52+00:00,13,13,UP,301,,,71,1,0
2026-04-01T16:13:52+00:00,14,14,DOWN,403,http_403,,64,3,0
2026-04-01T16:13:52+00:00,15,15,DOWN,403,http_403,,31,3,0
2026-04-01T16:13:52+00:00,16,16,UP,200,,,107,1,0
2026-04-01T16:13:52+00:00,17,17,UP,200,,,131,1,0
2026-04-01T16:13:52+00:00,18,18,UP,200,,,1305,1,0
2026-04-01T16:13:52+00:00,19,19,UP,200,,,127,1,0
2026-04-01T16:13:52+00:00,20,20,UP,301,,,126,1,0
2026-04-01T16:13:52+00:00,21,21,UP,200,,,814,1,0
2026-04-01T16:13:52+00:00,22,22,UP,200,,,69,1,0
2026-04-01T16:13:52+00:00,23,23,UP,200,,,143,1,0
2026-04-01T16:13:52+00:00,24,24,UP,200,,,1372,1,0
2026-04-01T16:13:52+00:00,25,25,UP,200,,,40,1,0
2026-04-01T16:13:52+00:00,26,26,UP,200,,,1553,1,0
2026-04-01T16:13:52+00:00,27,27,UP,200,,,1331,1,0
2026-04-01T16:13:52+00:00,28,28,UP,200,,,165,1,0
2026-04-01T16:13:52+00:00,29,29,UP,200,,,127,1,0
2026-04-01T16:13:52+00:00,30,30,UP,301,,,106,1,0
2026-04-01T16:13:52+00:00,31,31,UP,301,,,277,1,0
2026-04-01T16:13:52+00:00,32,32,UP,301,,,58,1,0
2026-04-01T16:13:52+00:00,33,33,UP,200,,,733,1,0
2026-04-01T16:13:52+00:00,35,35,UP,200,,,117,1,0
2026-04-01T16:13:52+00:00,36,36,UP,200,,,548,1,0
2026-04-01T16:13:52+00:00,37,37,UP,200,,,954,1,0
2026-04-01T16:13:52+00:00,38,38,UP,200,,,1887,1,0
2026-04-01T16:13:52+00:00,39,39,UP,200,,,1101,1,0
2026-04-01T16:13:52+00:00,40,40,UP,200,,,80,1,0
2026-04-01T16:13:52+00:00,41,41,UP,200,,,61,1,0
2026-04-01T16:13:52+00:00,42,42,UP,301,,,1087,1,0
2026-04-01T16:44:13+00:00,1,1,UP,301,,,86,1,0
2026-04-01T16:44:13+00:00,2,2,UP,200,,,194,1,0
2026-04-01T16:44:13+00:00,3,3,UP,301,,,282,1,0
2026-04-01T16:44:13+00:00,4,4,UP,301,,,1759,1,0
2026-04-01T16:44:13+00:00,5,5,UP,301,,,124,1,0
2026-04-01T16:44:13+00:00,6,6,UP,200,,,763,1,0
2026-04-01T16:44:13+00:00,7,7,UP,301,,,1746,1,0
2026-04-01T16:44:13+00:00,8,8,UP,301,,,954,1,0
2026-04-01T16:44:13+00:00,9,9,UP,200,,,1099,1,0
2026-04-01T16:44:13+00:00,10,10,UP,200,,,1081,1,0
2026-04-01T16:44:13+00:00,11,11,UP,200,,,2247,1,1
2026-04-01T16:44:13+00:00,12,12,UP,200,,,132,1,0
