ts_utc,site_id,endpoint_id,state,status_code,error_type,error_detail,latency_ms,attempts,slow
2026-04-08T00:05:36+00:00,1,1,UP,301,,,132,1,0
2026-04-08T00:05:36+00:00,2,2,UP,200,,,194,1,0
2026-04-08T00:05:36+00:00,3,3,UP,301,,,172,1,0
2026-04-08T00:05:36+00:00,4,4,UP,301,,,1775,1,0
2026-04-08T00:05:36+00:00,5,5,UP,301,,,169,1,0
2026-04-08T00:05:36+00:00,6,6,UP,200,,,756,1,0
2026-04-08T00:05:36+00:00,7,7,UP,301,,,1424,1,0
2026-04-08T00:05:36+00:00,8,8,UP,301,,,884,1,0
2026-04-08T00:05:36+00:00,9,9,UP,200,,,1026,1,0
2026-04-08T00:05:36+00:00,10,10,UP,200,,,1234,2,0
2026-04-08T00:05:36+00:00,11,11,UP,200,,,2435,1,1
2026-04-08T00:05:36+00:00,12,12,UP,200,,,169,1,0
2026-04-08T00:05:36+00:00,13,13,UP,301,,,145,1,0
2026-04-08T00:05:36+00:00,14,14,UP,200,,,104,1,0
2026-04-08T00:05:36+00:00,15,15,UP,301,,,261,1,0
2026-04-08T00:05:36+00:00,16,16,UP,200,,,61,1,0
2026-04-08T00:05:36+00:00,17,17,UP,200,,,106,1,0
2026-04-08T00:05:36+00:00,18,18,UP,200,,,1042,1,0
2026-04-08T00:05:36+00:00,19,19,UP,200,,,112,1,0
2026-04-08T00:05:36+00:00,20,20,UP,301,,,177,1,0
2026-04-08T00:05:36+00:00,21,21,UP,200,,,846,1,0
2026-04-08T00:05:36+00:00,22,22,UP,200,,,71,1,0
2026-04-08T00:05:36+00:00,23,23,UP,200,,,105,1,0
2026-04-08T00:05:36+00:00,24,24,UP,200,,,1329,1,0
2026-04-08T00:05:36+00:00,25,25,UP,200,,,68,1,0
2026-04-08T00:05:36+00:00,26,26,UP,200,,,1635,1,0
2026-04-08T00:05:36+00:00,27,27,UP,200,,,1318,1,0
2026-04-08T00:05:36+00:00,28,28,UP,200,,,759,1,0
2026-04-08T00:05:36+00:00,29,29,UP,200,,,139,1,0
