ts_utc,site_id,endpoint_id,state,status_code,error_type,error_detail,latency_ms,attempts,slow
2026-03-03T06:01:18+00:00,1,1,UP,200,,,140,1,0
2026-03-03T06:01:18+00:00,2,2,DOWN,403,http_403,,91,3,0
2026-03-03T06:01:18+00:00,3,3,UP,200,,,213,1,0
2026-03-03T06:01:18+00:00,4,4,DOWN,503,http_503,,337,3,0
2026-03-03T06:01:18+00:00,5,5,UP,200,,,92,1,0
2026-03-03T06:01:18+00:00,1,6,REVIEW,301,http_301,,59,1,0
2026-03-03T06:01:34+00:00,1,1,UP,200,,,104,1,0
2026-03-03T06:01:34+00:00,2,2,DOWN,403,http_403,,94,3,0
2026-03-03T06:01:34+00:00,3,3,UP,200,,,214,1,0
2026-03-03T06:01:34+00:00,4,4,DOWN,503,http_503,,107,3,0
2026-03-03T06:01:34+00:00,5,5,UP,200,,,108,1,0
2026-03-03T06:01:34+00:00,1,6,REVIEW,301,http_301,,52,1,0
2026-03-03T06:01:49+00:00,1,1,UP,200,,,119,1,0
2026-03-03T06:01:49+00:00,2,2,DOWN,403,http_403,,118,3,0
2026-03-03T06:01:49+00:00,3,3,UP,200,,,222,1,0
2026-03-03T06:01:49+00:00,4,4,DOWN,503,http_503,,109,3,0
2026-03-03T06:01:49+00:00,5,5,UP,200,,,373,1,0
2026-03-03T06:01:49+00:00,1,6,REVIEW,301,http_301,,62,1,0
2026-03-03T06:02:05+00:00,1,1,UP,200,,,223,1,0
2026-03-03T06:02:05+00:00,2,2,DOWN,403,http_403,,92,3,0
2026-03-03T06:02:05+00:00,3,3,UP,200,,,169,1,0
2026-03-03T06:02:05+00:00,4,4,DOWN,503,http_503,,209,3,0
2026-03-03T06:02:05+00:00,5,5,UP,200,,,524,1,0
2026-03-03T06:02:05+00:00,1,6,REVIEW,301,http_301,,58,1,0
2026-03-03T06:02:21+00:00,1,1,UP,200,,,102,1,0
2026-03-03T06:02:21+00:00,2,2,DOWN,403,http_403,,95,3,0
2026-03-03T06:02:21+00:00,3,3,UP,200,,,158,1,0
2026-03-03T06:02:21+00:00,4,4,DOWN,503,http_503,,108,3,0
2026-03-03T06:02:21+00:00,5,5,UP,200,,,470,1,0
2026-03-03T06:02:21+00:00,1,6,REVIEW,301,http_301,,39,1,0
2026-03-03T06:02:37+00:00,1,1,UP,200,,,102,1,0
2026-03-03T06:02:37+00:00,2,2,DOWN,403,http_403,,94,3,0
2026-03-03T06:02:37+00:00,3,3,UP,200,,,163,1,0
2026-03-03T06:02:37+00:00,4,4,DOWN,503,http_503,,236,3,0
2026-03-03T06:02:37+00:00,5,5,UP,200,,,499,1,0
2026-03-03T06:02:37+00:00,1,6,REVIEW,301,http_301,,43,1,0
2026-03-03T06:02:54+00:00,1,1,UP,200,,,109,1,0
2026-03-03T06:02:54+00:00,2,2,DOWN,403,http_403,,117,3,0
2026-03-03T06:02:54+00:00,3,3,UP,200,,,207,1,0
2026-03-03T06:02:54+00:00,4,4,DOWN,503,http_503,,97,3,0
2026-03-03T06:02:54+00:00,5,5,UP,200,,,98,1,0
2026-03-03T06:02:54+00:00,1,6,REVIEW,301,http_301,,43,1,0
2026-03-03T06:03:09+00:00,1,1,UP,200,,,101,1,0
