ts_utc,site_id,endpoint_id,state,status_code,error_type,error_detail,latency_ms,attempts,slow
2026-03-09T18:13:34+00:00,1,1,UP,200,,,171,1,0
2026-03-09T18:13:34+00:00,2,2,DOWN,403,http_403,,93,3,0
2026-03-09T18:13:34+00:00,3,3,UP,200,,,168,1,0
2026-03-09T18:13:34+00:00,4,4,DOWN,503,http_503,,113,3,0
2026-03-09T18:13:34+00:00,5,5,UP,200,,,103,1,0
2026-03-09T18:13:34+00:00,1,6,REVIEW,301,http_301,,78,1,0
2026-03-09T19:14:12+00:00,1,1,UP,200,,,163,1,0
2026-03-09T19:14:12+00:00,2,2,DOWN,403,http_403,,120,3,0
2026-03-09T19:14:12+00:00,3,3,UP,200,,,230,1,0
2026-03-09T19:14:12+00:00,4,4,DOWN,503,http_503,,129,3,0
2026-03-09T19:14:12+00:00,5,5,UP,200,,,92,1,0
2026-03-09T19:14:12+00:00,1,6,REVIEW,301,http_301,,85,1,0
2026-03-09T20:05:17+00:00,1,1,UP,200,,,153,1,0
2026-03-09T20:05:17+00:00,2,2,DOWN,403,http_403,,98,3,0
2026-03-09T20:05:17+00:00,3,3,UP,200,,,203,1,0
2026-03-09T20:05:17+00:00,4,4,DOWN,503,http_503,,109,3,0
2026-03-09T20:05:17+00:00,5,5,UP,200,,,92,1,0
2026-03-09T20:05:17+00:00,1,6,REVIEW,301,http_301,,73,1,0
2026-03-09T21:05:52+00:00,1,1,UP,200,,,233,1,0
2026-03-09T21:05:52+00:00,2,2,DOWN,403,http_403,,109,3,0
2026-03-09T21:05:52+00:00,3,3,UP,200,,,199,1,0
2026-03-09T21:05:52+00:00,4,4,DOWN,503,http_503,,118,3,0
2026-03-09T21:05:52+00:00,5,5,UP,200,,,650,1,0
2026-03-09T21:05:52+00:00,1,6,REVIEW,301,http_301,,83,1,0
2026-03-09T22:06:27+00:00,1,1,UP,200,,,171,1,0
2026-03-09T22:06:27+00:00,2,2,DOWN,403,http_403,,116,3,0
2026-03-09T22:06:27+00:00,3,3,UP,200,,,181,1,0
2026-03-09T22:06:27+00:00,4,4,DOWN,503,http_503,,112,3,0
2026-03-09T22:06:27+00:00,5,5,UP,200,,,208,1,0
2026-03-09T22:06:27+00:00,1,6,REVIEW,301,http_301,,99,1,0
2026-03-09T23:06:58+00:00,1,1,UP,200,,,167,1,0
2026-03-09T23:06:58+00:00,2,2,DOWN,403,http_403,,106,3,0
2026-03-09T23:06:58+00:00,3,3,UP,200,,,158,1,0
2026-03-09T23:06:58+00:00,4,4,DOWN,503,http_503,,99,3,0
2026-03-09T23:06:58+00:00,5,5,UP,200,,,93,1,0
2026-03-09T23:06:58+00:00,1,6,REVIEW,301,http_301,,97,1,0
