ts_utc,site_id,endpoint_id,state,status_code,error_type,error_detail,latency_ms,attempts,slow
2026-03-10T00:07:33+00:00,1,1,UP,200,,,193,1,0
2026-03-10T00:07:33+00:00,2,2,DOWN,403,http_403,,98,3,0
2026-03-10T00:07:33+00:00,3,3,UP,200,,,205,1,0
2026-03-10T00:07:33+00:00,4,4,DOWN,503,http_503,,232,3,0
2026-03-10T00:07:33+00:00,5,5,UP,200,,,570,1,0
2026-03-10T00:07:33+00:00,1,6,REVIEW,301,http_301,,93,1,0
2026-03-10T01:08:11+00:00,1,1,UP,200,,,156,1,0
2026-03-10T01:08:11+00:00,2,2,DOWN,403,http_403,,107,3,0
2026-03-10T01:08:11+00:00,3,3,UP,200,,,223,1,0
2026-03-10T01:08:11+00:00,4,4,DOWN,503,http_503,,100,3,0
2026-03-10T01:08:11+00:00,5,5,UP,200,,,94,1,0
2026-03-10T01:08:11+00:00,1,6,REVIEW,301,http_301,,84,1,0
2026-03-10T02:08:46+00:00,1,1,UP,200,,,154,1,0
2026-03-10T02:08:46+00:00,2,2,DOWN,403,http_403,,105,3,0
2026-03-10T02:08:46+00:00,3,3,UP,200,,,214,1,0
2026-03-10T02:08:46+00:00,4,4,DOWN,503,http_503,,273,3,0
2026-03-10T02:08:46+00:00,5,5,UP,200,,,96,1,0
2026-03-10T02:08:46+00:00,1,6,REVIEW,301,http_301,,71,1,0
2026-03-10T02:28:03+00:00,1,1,UP,200,,,159,1,0
2026-03-10T02:28:03+00:00,2,2,DOWN,403,http_403,,96,3,0
2026-03-10T02:28:03+00:00,3,3,UP,200,,,210,1,0
2026-03-10T02:28:03+00:00,4,4,DOWN,503,http_503,,311,3,0
2026-03-10T02:28:03+00:00,5,5,UP,200,,,281,1,0
2026-03-10T02:28:03+00:00,1,6,REVIEW,301,http_301,,101,1,0
2026-03-10T18:34:22+00:00,1,1,UP,200,,,185,1,0
2026-03-10T18:34:22+00:00,2,2,DOWN,403,http_403,,94,3,0
2026-03-10T18:34:22+00:00,3,3,UP,200,,,221,1,0
2026-03-10T18:34:22+00:00,4,4,DOWN,503,http_503,,104,3,0
2026-03-10T18:34:22+00:00,5,5,DOWN,503,http_503,,105,3,0
2026-03-10T18:34:22+00:00,1,6,REVIEW,301,http_301,,94,1,0
2026-03-10T19:05:59+00:00,1,1,UP,200,,,173,1,0
2026-03-10T19:05:59+00:00,2,2,DOWN,403,http_403,,107,3,0
2026-03-10T19:05:59+00:00,3,3,UP,200,,,219,1,0
2026-03-10T19:05:59+00:00,4,4,DOWN,503,http_503,,291,3,0
2026-03-10T19:05:59+00:00,5,5,DOWN,503,http_503,,92,3,0
2026-03-10T19:05:59+00:00,1,6,REVIEW,301,http_301,,76,1,0
2026-03-10T20:06:37+00:00,1,1,UP,200,,,173,1,0
2026-03-10T20:06:37+00:00,2,2,DOWN,403,http_403,,108,3,0
2026-03-10T20:06:37+00:00,3,3,UP,200,,,235,1,0
2026-03-10T20:06:37+00:00,4,4,DOWN,503,http_503,,291,3,0
2026-03-10T20:06:37+00:00,5,5,DOWN,503,http_503,,106,3,0
2026-03-10T20:06:37+00:00,1,6,REVIEW,301,http_301,,133,1,0
2026-03-10T21:07:19+00:00,1,1,UP,200,,,179,1,0
2026-03-10T21:07:19+00:00,2,2,DOWN,403,http_403,,108,3,0
2026-03-10T21:07:19+00:00,3,3,UP,200,,,209,1,0
